ID	NAME	CLONE_ID	5ACC	3ACC	GB_LIST
1100	SID  40696, ESTs [5':R55880, 3':R55799]	IMAGE:40696	R55880	R55799	R55880,R55799
1101	Human lunatic fringe mRNA, partial cds  Chr. [40887, (R), 5':R56561, 3':R56562]	IMAGE:40887	R56561	R56562	R56561,R56562
1102	  Chr. [40629, (I), 5':R55851, 3':R55772]	IMAGE:40629	R55851	R55772	R55851,R55772
1103	SID  40740, ESTs [5':R55966, 3':R55967]	IMAGE:40740	R55966	R55967	R55966,R55967
1104	SID W 40630, Paired basic amino acid cleaving system 4 [5':R55852, 3':R55773]	IMAGE:40630	R55852	R55773	R55852,R55773
1105	SID  40660, ESTs [5':R56423, 3':R56424]	IMAGE:40660	R56423	R56424	R56423,R56424
1106	 Human 40871 mRNA partial sequence Chr.12 [40871, (RW), 5':R56334, 3':R56251]	IMAGE:40871	R56334	R56251	R56334,R56251
1107	 ESTs Chr.10 [40853, (I), 5':R56304, 3':R56222]	IMAGE:40853	R56304	R56222	R56304,R56222
1108	 Human mRNA for KIAA0311 gene, partial cds Chr.14 [40844, (IRW), 5':R55867, 3':R55786]	IMAGE:40844	R55867	R55786	R55867,R55786
1109	SID  40842, ESTs [5':R55865, 3':R55784]	IMAGE:40842	R55865	R55784	R55865,R55784
1110	 EST Chr.3 [40827, (R), 5':R55835, 3':R55757]	IMAGE:40827	R55835	R55757	R55835,R55757
1111	  Chr. [41364, (I), 5':R56368, 3':R56272]	IMAGE:41364	R56368	R56272	R56368,R56272
1112	SID  41254, ESTs [5':R56359, 3':R56266]	IMAGE:41254	R56359	R56266	R56359,R56266
1113	 EST Chr.X [41448, (I), 5':R59137, 3':R59138]	IMAGE:41448	R59137	R59138	R59137,R59138
1114	 ESTs Chr.6 [41232, (I), 5':R59010, 3':R58955]	IMAGE:41232	R59010	R58955	R59010,R58955
1115	 EST Chr.17 [41175, (I), 5':R56500, 3':R56107]	IMAGE:41175	R56500	R56107	R56500,R56107
1116	 EST Chr.6 [41427, (I), 5':R56760, 3':R56912]	IMAGE:41427	R56760	R56912	R56760,R56912
1117	 ESTs Chr.5 [41077, (RW), 5':R56606, 3':R56607]	IMAGE:41077	R56606	R56607	R56606,R56607
1118	 ESTs Chr.3 [41239, (I), 5':R59034, 3':R58978]	IMAGE:41239	R59034	R58978	R59034,R58978
1119	 ESTs Chr.2 [41442, (I), 5':R59022, 3':R58966]	IMAGE:41442	R59022	R58966	R59022,R58966
1120	 ESTs Chr.X [41228, (R), 5':R59007, 3':R58953]	IMAGE:41228	R59007	R58953	R59007,R58953
1121	SID  41225, EST [5':R56807, 3':R56808]	IMAGE:41225	R56807	R56808	R56807,R56808
1122	SID  41118, ESTs [5':, 3':R56800]	IMAGE:41118		R56800	R56800
1123	 Homo sapiens mRNA for KIAA0643 protein, partial cds Chr.16 [41302, (I), 5':R56643, 3':R56644]	IMAGE:41302	R56643	R56644	R56643,R56644
1124	  Chr. [41395, (I), 5':R56622, 3':R56623]	IMAGE:41395	R56622	R56623	R56622,R56623
1125	SID  41385, ESTs [5':R56510, 3':R56118]	IMAGE:41385	R56510	R56118	R56510,R56118
1126	 ESTs Chr.9 [41230, (IR), 5':R59008, 3':R58954]	IMAGE:41230	R59008	R58954	R59008,R58954
1127	 AUTOANTIGEN PM-SCL Chr.1 [41688, (IEW), 5':R59534, 3':R59535]	IMAGE:41688	R59534	R59535	R59534,R59535
1128	 N-MYC PROTO-ONCOGENE PROTEIN Chr.2 [41565, (RW), 5':R52866, 3':R52824]	IMAGE:41565	R52866	R52824	R52866,R52824
1129	 N-MYC PROTO-ONCOGENE PROTEIN Chr.2 [41565, (RW), 5':R52866, 3':R52824]	IMAGE:41565	R52866	R52824	R52866,R52824
1130	SID W 41675, ESTs [5':R52904, 3':R52905]	IMAGE:41675	R52904	R52905	R52904,R52905
1131	 ESTs Chr.7 [41757, (IW), 5':R52804, 3':R52805]	IMAGE:41757	R52804	R52805	R52804,R52805
1132	SID W 41675, ESTs [5':R52904, 3':R52905]	IMAGE:41675	R52904	R52905	R52904,R52905
1133	 Human thymidine kinase 2 (TK2) mRNA, complete cds Chr.16 [41853, (RW), 5':R52756, 3':R52703]	IMAGE:41853	R52756	R52703	R52756,R52703
1134	 ESTs Chr. [41569, (IRW), 5':R52900, 3':R52901]	IMAGE:41569	R52900	R52901	R52900,R52901
1135	SID  41700,  [5':R59561, 3':R59562]	IMAGE:41700	R59561	R59562	R59561,R59562
1136	SID  41558,  [5':R52881, 3':R52882]	IMAGE:41558	R52881	R52882	R52881,R52882
1137	SID  41885, H.sapiens mRNA from TYL gene [5':, 3':R52838]	IMAGE:41885		R52838	R52838
1138	Homo sapiens apoptotic protease activating factor 1 (Apaf-1) mRNA, complete cds  Chr. [41631, (I), 5':R52720, 3':R52673]	IMAGE:41631	R52720	R52673	R52720,R52673
1139	 ESTs Chr.11 [41666, (IW), 5':R52869, 3':R52825]	IMAGE:41666	R52869	R52825	R52869,R52825
1140	SID W 41959, H.sapiens HBF-1 mRNA for transcription factor [5':R60390, 3':R60332]	IMAGE:41959	R60390	R60332	R60390,R60332
1141	 ESTs Chr.1 [42035, (R), 5':R59067, 3':R59068]	IMAGE:42035	R59067	R59068	R59067,R59068
1142	 Homo sapiens clone 23766 mRNA sequence Chr.X [41940, (R), 5':R59086, 3':R59087]	IMAGE:41940	R59086	R59087	R59086,R59087
1143	SID W 42065, ESTs, Weakly similar to DIACYLGLYCEROL KINASE, GAMMA [Homo sapiens] [5':R60398, 3':R60339]	IMAGE:42065	R60398	R60339	R60398,R60339
1144	SYK Spleen tyrosine kinase Chr.9 [42214, (RW), 5':R59656, 3':R59598]	IMAGE:42214	R59656	R59598	R59656,R59598
1145	SID  42119, Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene,  [5':R59677, 3':R59617]	IMAGE:42119	R59677	R59617	R59677,R59617
1146	SID W 41972, Adenylate cyclase 8 (brain) [5':R61009, 3':R60892]	IMAGE:41972	R61009	R60892	R61009,R60892
1147	 ESTs Chr.7 [42027, (E), 5':R60254, 3':R60766]	IMAGE:42027	R60254	R60766	R60254,R60766
1148	 ESTs Chr.7 [42009, (R), 5':R60712, 3':R60713]	IMAGE:42009	R60712	R60713	R60712,R60713
1149	 ESTs Chr.6 [41899, (IRW), 5':R59638, 3':R59580]	IMAGE:41899	R59638	R59580	R59638,R59580
1150	 ESTs Chr.1 [42115, (I), 5':R60716, 3':R60717]	IMAGE:42115	R60716	R60717	R60716,R60717
1151	SID W 42163, ESTs, Highly  similar to RSP5 PROTEIN [Saccharomyces cerevisiae] [5':R60379, 3':R60320]	IMAGE:42163	R60379	R60320	R60379,R60320
1152	SID W 42227, ESTs [5':R59686, 3':R59626]	IMAGE:42227	R59686	R59626	R59686,R59626
1153	 ESTs Chr.6 [42225, (R), 5':R60730, 3':R60731]	IMAGE:42225	R60730	R60731	R60730,R60731
1154	 ESTs Chr.1 [41963, (DEW), 5':R60394, 3':R60336]	IMAGE:41963	R60394	R60336	R60394,R60336
1155	SID  41973, EST [5':R61010, 3':R60893]	IMAGE:41973	R61010	R60893	R61010,R60893
1156	SID  42236, EST [5':R60754, 3':R60755]	IMAGE:42236	R60754	R60755	R60754,R60755
1157	SID  42028,  [5':R60255, 3':R60767]	IMAGE:42028	R60255	R60767	R60255,R60767
1158	SID  41905, EST [5':R59661, 3':R59601]	IMAGE:41905	R59661	R59601	R59661,R59601
1159	SID  42114, ESTs [5':R59653, 3':R59595]	IMAGE:42114	R59653	R59595	R59653,R59595
1160	SID  42500, ESTs, Highly  similar to HYPOTHETICAL 251.0 KD PROTEIN IN CRY1-GNS1 INTERGENIC REGION [Saccharom [5':R60879, 3':R60880]	IMAGE:42500	R60879	R60880	R60879,R60880
1161	SID  42354, ESTs, Weakly similar to T06D8.5 [C.elegans] [5':R59851, 3':R59852]	IMAGE:42354	R59851	R59852	R59851,R59852
1162	SID  42629, ESTs [5':R61664, 3':R60996]	IMAGE:42629	R61664	R60996	R61664,R60996
1163	 H.sapiens mRNA for protein-tyrosine-phosphatase (tissue type: foreskin) Chr.12 [42464, (DEW), 5':R59864, 3':R59865]	IMAGE:42464	R59864	R59865	R59864,R59865
1164	SID  42670, Zinc finger protein 174 [5':, 3':R61313]	IMAGE:42670		R61313	R61313
1165	SID  42386,  [5':R67174, 3':R59989]	IMAGE:42386	R67174	R59989	R67174,R59989
1166	SID  42659, ESTs [5':R61126, 3':R61845]	IMAGE:42659	R61126	R61845	R61126,R61845
1167	SID W 42452, ESTs, Highly similar to similar to mouse Int-6 [H.sapiens] [5':R59752, 3':R61297]	IMAGE:42452	R59752	R61297	R59752,R61297
1168	SID  42552, ESTs [5':R61118, 3':R61840]	IMAGE:42552	R61118	R61840	R61118,R61840
1169	SID  42419, ESTs [5':, 3':R60985]	IMAGE:42419		R60985	R60985
1170	SID  42415, ESTs [5':R61649, 3':R60981]	IMAGE:42415	R61649	R60981	R61649,R60981
1171	 EST Chr.15 [42569, (D), 5':R59868, 3':R59869]	IMAGE:42569	R59868	R59869	R59868,R59869
1172	SID W 42330, ESTs [5':R61186, 3':R61187]	IMAGE:42330	R61186	R61187	R61186,R61187
1173	TOP1 DNA topoisomerase I Chr.20 [43129, (RW), 5':R60159, 3':R60160]	IMAGE:43129	R60159	R60160	R60159,R60160
1174	 ESTs Chr.6 [43006, (E), 5':R59842, 3':R59736]	IMAGE:43006	R59842	R59736	R59842,R59736
1175	SID W 42944, Human EST clone 42944 mariner transposon Hsmar1 sequence [5':R60460, 3':R60227]	IMAGE:42944	R60460	R60227	R60460,R60227
1176	SID W 43014, ESTs [5':R60088, 3':R60026]	IMAGE:43014	R60088	R60026	R60088,R60026
1177	SID W 43017, ESTs [5':R60091, 3':R60029]	IMAGE:43017	R60091	R60029	R60091,R60029
1178	SID  43027, ESTs [5':R60120, 3':R60057]	IMAGE:43027	R60120	R60057	R60120,R60057
1179	 ESTs Chr.9 [42824, (RW), 5':R60169, 3':R60170]	IMAGE:42824	R60169	R60170	R60169,R60170
1180	SID  43031, ESTs [5':R60124, 3':R60061]	IMAGE:43031	R60124	R60061	R60124,R60061
1181	SID  42817, ESTs [5':R60107, 3':R60045]	IMAGE:42817	R60107	R60045	R60107,R60045
1182	SID  42842, ESTs [5':R60457, 3':R60223]	IMAGE:42842	R60457	R60223	R60457,R60223
1183	SID  42832, ESTs [5':R60431, 3':R60198]	IMAGE:42832	R60431	R60198	R60431,R60198
1184	SID  42747, ESTs [5':R61128, 3':R61847]	IMAGE:42747	R61128	R61847	R61128,R61847
1185	SID  43059, ESTs [5':R60475, 3':R60240]	IMAGE:43059	R60475	R60240	R60475,R60240
1186	SID  42998, ESTs [5':, 3':R59732]	IMAGE:42998		R59732	R59732
1187	SID  42895, ESTs [5':R59835, 3':R59726]	IMAGE:42895	R59835	R59726	R59835,R59726
1188	SID  42787, ESTs [5':R59827, 3':R59717]	IMAGE:42787	R59827	R59717	R59827,R59717
1189	SID  42908,  [5':R60081, 3':R60021]	IMAGE:42908	R60081	R60021	R60081,R60021
1190	SID W 38031, CAD PROTEIN [5':R59431, 3':R59373]	IMAGE:38031	R59431	R59373	R59431,R59373
1191	SID W 37855, Human onconeural ventral antigen-1 (Nova-1) mRNA, complete cds [5':R60636, 3':R60583]	IMAGE:37855	R60636	R60583	R60636,R60583
1192	SID  37728, ESTs [5':R59488, 3':R59489]	IMAGE:37728	R59488	R59489	R59488,R59489
1193	SID W 37881, ESTs [5':R61433, 3':R61388]	IMAGE:37881	R61433	R61388	R61433,R61388
1194	SID  37804, ESTs [5':R61597, 3':R61543]	IMAGE:37804	R61597	R61543	R61597,R61543
1195	SID  37695, ESTs, Weakly similar to PROCHOLECYSTOKININ PRECURSOR [Macaca fascicularis] [5':R61589, 3':R61533]	IMAGE:37695	R61589	R61533	R61589,R61533
1196	SID  37783, EST [5':R61482, 3':R61483]	IMAGE:37783	R61482	R61483	R61482,R61483
1197	SID  37627,  [5':R60595, 3':R60542]	IMAGE:37627	R60595	R60542	R60595,R60542
1198	SID  38027, EST [5':R59427, 3':R59369]	IMAGE:38027	R59427	R59369	R59427,R59369
1199	SID  37689, ESTs [5':R59291, 3':R59292]	IMAGE:37689	R59291	R59292	R59291,R59292
1200	SID W 37809, Homo sapiens clone 24527 mRNA sequence [5':R59328, 3':R59329]	IMAGE:37809	R59328	R59329	R59328,R59329
1201	SID W 130109, Sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) [5':R20920, 3':R20806]	IMAGE:130109	R20920	R20806	R20920,R20806
1202	SID W 130313, Nitric oxide synthase 3 (endothelial cell) [5':R21247, 3':R21248]	IMAGE:130313	R21247	R21248	R21247,R21248
1203	SID  130532, Glucuronidase, beta [5':R21900, 3':R21901]	IMAGE:130532	R21900	R21901	R21900,R21901
1204	SID  130482, ESTs [5':R21876, 3':R21877]	IMAGE:130482	R21876	R21877	R21876,R21877
1205	 Human chromosome 17q21 mRNA clone 1046:1-1 Chr. [130476, (DE), 5':R22363, 3':R21832]	IMAGE:130476	R22363	R21832	R22363,R21832
1206	SID W 130600, ESTs [5':R22532, 3':R22533]	IMAGE:130600	R22532	R22533	R22532,R22533
1207	SID  130722, EST [5':R22006, 3':R22007]	IMAGE:130722	R22006	R22007	R22006,R22007
1208	SID  130531, ESTs [5':R21905, 3':R21906]	IMAGE:130531	R21905	R21906	R21905,R21906
1209	SID  130841,  [5':R22303, 3':R22304]	IMAGE:130841	R22303	R22304	R22303,R22304
1210	 ESTs Chr.9 [130972, (R), 5':, 3':R22919]	IMAGE:130972		R22919	R22919
1211	 Homo sapiens Grb14 mRNA, complete cds Chr.2 [131268, (R), 5':R24375, 3':R24266]	IMAGE:131268	R24375	R24266	R24375,R24266
1212	SID  131542, ESTs [5':R24207, 3':R24208]	IMAGE:131542	R24207	R24208	R24207,R24208
1213	SID  131285, EST, Weakly similar to putative p150 [H.sapiens] [5':R24394, 3':R24284]	IMAGE:131285	R24394	R24284	R24394,R24284
1214	SID  131591, ESTs [5':R24238, 3':R24239]	IMAGE:131591	R24238	R24239	R24238,R24239
1215	SID W 131566, ESTs, Weakly similar to W02D9.2 [C.elegans] [5':R24221, 3':R24222]	IMAGE:131566	R24221	R24222	R24221,R24222
1216	SID W 131828, ESTs [5':R25117, 3':R25118]	IMAGE:131828	R25117	R25118	R25117,R25118
1217	SID  131686,  [5':R24442, 3':R24443]	IMAGE:131686	R24442	R24443	R24442,R24443
1218	SID  131910, ESTs [5':R24670, 3':R25171]	IMAGE:131910	R24670	R25171	R24670,R25171
1219	SID W 131894, ESTs [5':R24660, 3':R25163]	IMAGE:131894	R24660	R25163	R24660,R25163
1220	 ESTs Chr.11 [131824, (RW), 5':R25113, 3':R25114]	IMAGE:131824	R25113	R25114	R25113,R25114
1221	SID W 131860, Homo sapiens eps8 binding protein e3B1 mRNA, complete cds [5':R24641, 3':R24536]	IMAGE:131860	R24641	R24536	R24641,R24536
1222	SID W 131843, Human mRNA for KIAA0308 gene, partial cds [5':R24637, 3':R24532]	IMAGE:131843	R24637	R24532	R24637,R24532
1223	SID  131817, EST [5':R24621, 3':R24518]	IMAGE:131817	R24621	R24518	R24621,R24518
1224	SID  132118, ESTs [5':R23602, 3':R26157]	IMAGE:132118	R23602	R26157	R23602,R26157
1225	SID  132347, ESTs [5':R25478, 3':R26303]	IMAGE:132347	R25478	R26303	R25478,R26303
1226	SID  132116, ESTs [5':R23601, 3':R26156]	IMAGE:132116	R23601	R26156	R23601,R26156
1227	ETS2 V-ets avian erythroblastosis virus E26 oncogene homolog 2 Chr.21 [132420, (DEW), 5':R25353, 3':R26543]	IMAGE:132420	R25353	R26543	R25353,R26543
1228	SID  132588, ESTs, Highly  similar to ACTIN-LIKE PROTEIN 13E [Drosophila melanogaster] [5':R25958, 3':R26764]	IMAGE:132588	R25958	R26764	R25958,R26764
1229	SID  132737, ESTs [5':R26042, 3':R26838]	IMAGE:132737	R26042	R26838	R26042,R26838
1230	SID  132471, ESTs [5':R25743, 3':R26589]	IMAGE:132471	R25743	R26589	R25743,R26589
1231	SID W 133122, Von Hippel-Lindau syndrome [5':R26242, 3':R26243]	IMAGE:133122	R26242	R26243	R26242,R26243
1232	SID W 133097, ESTs [5':R26232, 3':R26233]	IMAGE:133097	R26232	R26233	R26232,R26233
1233	SID  133063, EST [5':R26330, 3':R26118]	IMAGE:133063	R26330	R26118	R26330,R26118
1234	 ESTs, Moderately similar to unknown intracellular protein [M.musculus] Chr.20 [133090, (EW), 5':R26340, 3':R26128]	IMAGE:133090	R26340	R26128	R26340,R26128
1235	SID W 133362, ESTs, Highly  similar to MKR2 PROTEIN [Mus musculus] [5':R27198, 3':R27199]	IMAGE:133362	R27198	R27199	R27198,R27199
1236	 Human tax1-binding protein TXBP151 mRNA, complete cds Chr.7 [133496, (EW), 5':R27279, 3':R27475]	IMAGE:133496	R27279	R27475	R27279,R27475
1237	SID  133432, ESTs [5':R27331, 3':R27332]	IMAGE:133432	R27331	R27332	R27331,R27332
1238	SID W 133211, ESTs [5':R28446, 3':R25418]	IMAGE:133211	R28446	R25418	R28446,R25418
1239	SID  133386, EST [5':R27212, 3':R27213]	IMAGE:133386	R27212	R27213	R27212,R27213
1240	SID W 133791, Transforming growth factor beta [5':R27892, 3':R27799]	IMAGE:133791	R27892	R27799	R27892,R27799
1241	SID  133631, ESTs [5':R28560, 3':R28356]	IMAGE:133631	R28560	R28356	R28560,R28356
1242	SID W 133851, ESTs [5':R28233, 3':R27977]	IMAGE:133851	R28233	R27977	R28233,R27977
1243	SID W 133844, Homo sapiens molybdenum cofactor biosynthesis protein A and molybdenum cofactor biosynthesis pro [5':R28506, 3':R28654]	IMAGE:133844	R28506	R28654	R28506,R28654
1244	SID  133720,  [5':R28582, 3':R28372]	IMAGE:133720	R28582	R28372	R28582,R28372
1245	SID  133719, EST [5':R27851, 3':R27768]	IMAGE:133719	R27851	R27768	R27851,R27768
1246	SID  134503,  [5':R27667, 3':R27569]	IMAGE:134503	R27667	R27569	R27667,R27569
1247	SID W 134369, Colony stimulating factor 3 receptor (granulocyte) [5':R31999, 3':R31950]	IMAGE:134369	R31999	R31950	R31999,R31950
1248	 ESTs, Weakly similar to L8004.7 gene product [S.cerevisiae] Chr.6 [134487, (EW), 5':R27657, 3':R27560]	IMAGE:134487	R27657	R27560	R27657,R27560
1249	 ESTs Chr.6 [134557, (I), 5':R27697, 3':R27598]	IMAGE:134557	R27697	R27598	R27697,R27598
1250	 ESTs Chr.1 [134862, (D), 5':R32251, 3':R32300]	IMAGE:134862	R32251	R32300	R32251,R32300
1251	SID W 134733, ESTs [5':R28334, 3':R28335]	IMAGE:134733	R28334	R28335	R28334,R28335
1252	SID  134678, ESTs [5':R28037, 3':R28259]	IMAGE:134678	R28037	R28259	R28037,R28259
1253	SID W 135118, GATA-binding protein 3 [5':R31441, 3':R31442]	IMAGE:135118	R31441	R31442	R31441,R31442
1254	ESTs, Highly  similar to LEUCYL-TRNA SYNTHETASE, CYTOPLASMIC [Saccharomyces cerevisiae]SID  135407,  [5':R32993, 3':R32994]	IMAGE:135407	R32993	R32994	R32993,R32994
1255	SID W 135381, Homo sapiens apoptosis associated protein (GADD34) mRNA, complete cds [5':R32979, 3':R32980]	IMAGE:135381	R32979	R32980	R32979,R32980
1256	 ESTs Chr.1 [135287, (I), 5':R32123, 3':R32124]	IMAGE:135287	R32123	R32124	R32123,R32124
1257	  Chr. [135326, (I), 5':R31071, 3':R31551]	IMAGE:135326	R31071	R31551	R31071,R31551
1258	  Chr. [135350, (I), 5':R32589, 3':R32483]	IMAGE:135350	R32589	R32483	R32589,R32483
1259	 ESTs Chr.9 [135229, (IW), 5':R32956, 3':R32852]	IMAGE:135229	R32956	R32852	R32956,R32852
1260	 ESTs Chr.21 [135385, (IW), 5':R32621, 3':R32508]	IMAGE:135385	R32621	R32508	R32621,R32508
1261	 ESTs Chr.2 [135312, (I), 5':R31064, 3':R31545]	IMAGE:135312	R31064	R31545	R31064,R31545
1262	 Human syntaxin 3 mRNA, complete cds Chr.11 [135640, (IW), 5':R32376, 3':R32377]	IMAGE:135640	R32376	R32377	R32376,R32377
1263	 Human CDP-diacylglycerol synthase (CDS) mRNA, complete cds Chr.4 [135630, (IRW), 5':R31300, 3':R31562]	IMAGE:135630	R31300	R31562	R31300,R31562
1264	 ESTs Chr.19 [135705, (IW), 5':R31347, 3':R31607]	IMAGE:135705	R31347	R31607	R31347,R31607
1265	 Homo sapiens chromosome 9, P1 clone 11659 Chr.9 [136030, (IW), 5':R35552, 3':R34226]	IMAGE:136030	R35552	R34226	R35552,R34226
1266	 ESTs Chr.5 [135900, (I), 5':R33720, 3':R33609]	IMAGE:135900	R33720	R33609	R33720,R33609
1267	 ESTs Chr.6 [136143, (IW), 5':R33289, 3':R33137]	IMAGE:136143	R33289	R33137	R33289,R33137
1268	 EST Chr.10 [136101, (I), 5':R35576, 3':R34249]	IMAGE:136101	R35576	R34249	R35576,R34249
1269	ESTs  Chr. [136026, (I), 5':R35550, 3':R34225]	IMAGE:136026	R35550	R34225	R35550,R34225
1270	SID W 136322, Human cAMP responsive element binding protein beta subunit (CREBPA) mRNA, complete cds [5':R34019, 3':R33481]	IMAGE:136322	R34019	R33481	R34019,R33481
1271	SID  136513,  [5':R34471, 3':R34356]	IMAGE:136513	R34471	R34356	R34471,R34356
1272	 EST Chr.4 [136510, (I), 5':R34569, 3':R34570]	IMAGE:136510	R34569	R34570	R34569,R34570
1273	  Chr. [136549, (I), 5':R34490, 3':R34370]	IMAGE:136549	R34490	R34370	R34490,R34370
1274	 ESTs, Weakly similar to !!!! ALU SUBFAMILY J WARNING ENTRY !!!! [H.sapiens] Chr.22 [136431, (IW), 5':R34195, 3':R34314]	IMAGE:136431	R34195	R34314	R34195,R34314
1275	 Homo sapiens gene for protein involved in sexual development, complete cds Chr.2 [136893, (IW), 5':R38452, 3':R36533]	IMAGE:136893	R38452	R36533	R38452,R36533
1276	 TRANSCRIPTION INITIATION FACTOR TFIID 250 KD SUBUNIT Chr.X [136769, (I), 5':R35248, 3':R35249]	IMAGE:136769	R35248	R35249	R35248,R35249
1277	 ESTs Chr.1 [136962, (IW), 5':R38469, 3':R36548]	IMAGE:136962	R38469	R36548	R38469,R36548
1278	  Chr. [136871, (I), 5':R36495, 3':R36496]	IMAGE:136871	R36495	R36496	R36495,R36496
1279	F3 Coagulation factor III (thromboplastin, tissue factor) Chr.1 [136590, (DW), 5':R34929, 3':R34833]	IMAGE:136590	R34929	R34833	R34929,R34833
1280	  Chr. [136766, (I), 5':R34822, 3':R34709]	IMAGE:136766	R34822	R34709	R34822,R34709
1281	 ESTs Chr.6 [136811, (I), 5':R36185, 3':R36090]	IMAGE:136811	R36185	R36090	R36185,R36090
1282	 ESTs Chr.6 [136686, (I), 5':R34775, 3':R34673]	IMAGE:136686	R34775	R34673	R34775,R34673
1283	 EST Chr.4 [136905, (I), 5':R39728, 3':R36649]	IMAGE:136905	R39728	R36649	R39728,R36649
1284	FN1 Fibronectin 1 Chr.2 [136798, (IEW), 5':R36450, 3':R36451]	IMAGE:136798	R36450	R36451	R36450,R36451
1285	SID W 136790, ESTs, Moderately similar to Similar to ubiquitin-conjugating enzyme. [C.elegans] [5':R36166, 3':R36074]	IMAGE:136790	R36166	R36074	R36166,R36074
1286	 EST Chr.5 [136780, (R), 5':, 3':R36070]	IMAGE:136780		R36070	R36070
1287	 ESTs Chr.2 [136775, (IRW), 5':R35252, 3':R35253]	IMAGE:136775	R35252	R35253	R35252,R35253
1288	 EST Chr.10 [137238, (IE), 5':R36432, 3':R36150]	IMAGE:137238	R36432	R36150	R36432,R36150
1289	CHGA Chromogranin A (parathyroid secretory protein 1) Chr.14 [137158, (IR), 5':R36263, 3':R36264]	IMAGE:137158	R36263	R36264	R36263,R36264
1290	  Chr. [137294, (I), 5':R37541, 3':R36693]	IMAGE:137294	R37541	R36693	R37541,R36693
1291	 EST Chr.1 [137318, (I), 5':, 3':R36703]	IMAGE:137318		R36703	R36703
1292	  Chr. [137324, (I), 5':, 3':R36606]	IMAGE:137324		R36606	R36606
1293	  Chr. [137281, (DI), 5':R37542, 3':R36694]	IMAGE:137281	R37542	R36694	R37542,R36694
1294	SID  137087, EST [5':R36225, 3':R36226]	IMAGE:137087	R36225	R36226	R36225,R36226
1295	 EST Chr.20 [137016, (IR), 5':R35768, 3':R35661]	IMAGE:137016	R35768	R35661	R35768,R35661
1296	 ESTs Chr.15 [137098, (IW), 5':R36349, 3':R35980]	IMAGE:137098	R36349	R35980	R36349,R35980
1297	PTPRG Protein tyrosine phosphatase, receptor type, gamma polypeptide Chr.3 [137531, (IRW), 5':R39428, 3':R38343]	IMAGE:137531	R39428	R38343	R39428,R38343
1298	 INTERLEUKIN-1 RECEPTOR, TYPE II PRECURSOR Chr.2 [137575, (IW), 5':R39643, 3':R39575]	IMAGE:137575	R39643	R39575	R39643,R39575
1299	 ESTs Chr.4 [137404, (D), 5':R38137, 3':R38048]	IMAGE:137404	R38137	R38048	R38137,R38048
1300	 EST Chr.1 [137529, (I), 5':R39427, 3':R38342]	IMAGE:137529	R39427	R38342	R39427,R38342
1301	SID  137416, ESTs [5':R38231, 3':R38232]	IMAGE:137416	R38231	R38232	R38231,R38232
1302	 ESTs, Weakly similar to F56A8.j [C.elegans] Chr.1 [137505, (I), 5':R39411, 3':R38328]	IMAGE:137505	R39411	R38328	R39411,R38328
1303	 ESTs Chr.1 [137527, (IW), 5':R39426, 3':R38341]	IMAGE:137527	R39426	R38341	R39426,R38341
1304	SID  137503,  [5':R39410, 3':R38327]	IMAGE:137503	R39410	R38327	R39410,R38327
1305	 EST Chr.2 [137557, (I), 5':R39630, 3':R39569]	IMAGE:137557	R39630	R39569	R39630,R39569
1306	  Chr. [137517, (I), 5':R39501, 3':R39502]	IMAGE:137517	R39501	R39502	R39501,R39502
1307	 ESTs Chr.4 [137500, (I), 5':R39402, 3':R38323]	IMAGE:137500	R39402	R38323	R39402,R38323
1308	SID  137704, ESTs [5':, 3':R37986]	IMAGE:137704		R37986	R37986
1309	 EST Chr.1 [137645, (I), 5':R37883, 3':R37813]	IMAGE:137645	R37883	R37813	R37883,R37813
1310	 ESTs Chr.2 [137393, (I), 5':R38224, 3':R38225]	IMAGE:137393	R38224	R38225	R38224,R38225
1311	 Human mRNA for apolipoprotein E receptor 2, complete cds Chr. [137995, (IW), 5':R63184, 3':R63185]	IMAGE:137995	R63184	R63185	R63184,R63185
1312	SID W 137964, ESTs [5':R63117, 3':R63076]	IMAGE:137964	R63117	R63076	R63117,R63076
1313	 ESTs Chr.1 [137746, (IW), 5':R68504, 3':R68213]	IMAGE:137746	R68504	R68213	R68504,R68213
1314	ESTs  Chr. [138090, (I), 5':R53774, 3':R53775]	IMAGE:138090	R53774	R53775	R53774,R53775
1315	 Homo sapiens clone 23887 mRNA sequence Chr.14 [138067, (IW), 5':R53766, 3':R53767]	IMAGE:138067	R53766	R53767	R53766,R53767
1316	ESTs  Chr. [138082, (I), 5':R53720, 3':R52939]	IMAGE:138082	R53720	R52939	R53720,R52939
1317	 ESTs Chr.15 [137959, (I), 5':R63120, 3':R63079]	IMAGE:137959	R63120	R63079	R63120,R63079
1318	 EST Chr.2 [137884, (IR), 5':R68373, 3':R68578]	IMAGE:137884	R68373	R68578	R68373,R68578
1319	 INTERLEUKIN-1 RECEPTOR, TYPE I PRECURSOR Chr.2 [138265, (IW), 5':R56687, 3':R56844]	IMAGE:138265	R56687	R56844	R56687,R56844
1320	SID W 138460, Homo sapiens cyclin G2 mRNA, complete cds [5':R68318, 3':R68280]	IMAGE:138460	R68318	R68280	R68318,R68280
